#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
455,Jeferson Quero,MIL,6,22,24,5,3,1,0,1,3,3,2,0,5,0,0,0,0,0,0.230
456,Dylan Carlson,BAL,8,29,33,7,5,1,0,1,4,3,3,0,8,1,0,0,0,0,0.238
457,Juan Yepez,WSN,23,87,96,21,13,5,0,3,11,12,8,0,19,1,1,0,1,0,0.245
458,Pablo Reyes,NYY,8,29,33,7,5,1,0,1,4,3,3,0,6,0,0,0,1,0,0.244
459,Marcelo Mayer,BOS,6,24,26,6,4,2,0,1,3,3,2,0,6,0,0,0,0,0,0.246
460,Max Acosta,MIA,15,54,59,13,9,3,0,1,6,5,3,0,11,1,0,0,2,1,0.245
461,Luken Baker,STL,29,107,121,23,14,4,0,5,14,15,12,0,33,1,1,0,0,0,0.219
462,Buddy Kennedy,PHI,10,35,40,8,5,2,0,1,4,4,4,0,9,0,0,0,0,0,0.229
463,Cal Stevenson,PHI,10,33,39,7,5,1,0,1,4,4,5,0,9,0,0,0,1,0,0.227
464,Luis Guillorme,HOU,8,28,32,7,5,1,0,0,3,3,3,0,6,0,0,0,1,0,0.244
465,DaShawn Keirsey Jr.,MIN,11,42,46,10,7,2,0,1,5,4,3,0,12,0,0,0,2,0,0.237
466,Manuel Margot,MIL,13,50,54,13,9,3,0,1,6,5,4,0,10,0,0,0,1,0,0.257
467,Weston Wilson,PHI,19,69,78,15,9,3,0,3,9,9,8,0,23,1,1,0,2,1,0.218
468,Sean Bouchard,COL,41,141,162,34,20,7,1,5,19,18,17,0,44,2,1,0,3,1,0.242
469,Brett Harris,ATH,5,17,19,4,3,1,0,0,2,2,2,0,4,0,0,0,0,0,0.231
470,Victor Mesa Jr.,MIA,23,85,92,19,13,4,0,2,9,9,6,0,22,1,1,0,1,0,0.228
471,Jacob Stallings,COL,69,235,266,55,37,12,1,6,28,26,23,1,62,4,2,1,2,0,0.236
472,Graham Pauley,MIA,21,76,84,17,11,4,0,2,9,9,7,0,20,1,1,0,1,0,0.228
473,Miles Mastrobuoni,SEA,6,23,26,5,4,1,0,0,3,2,2,0,6,0,0,0,1,0,0.233
474,J.D. Martinez,,86,329,368,77,46,17,1,12,41,45,32,0,106,3,3,0,1,0,0.235
475,Jon Singleton,HOU,21,74,86,16,10,3,0,3,10,10,11,0,24,0,1,0,0,0,0.217
476,Andrew McCutchen,PIT,105,399,462,92,60,17,1,14,53,51,53,1,115,5,3,1,5,2,0.230
477,Myles Straw,TOR,16,56,63,13,10,2,0,0,6,5,5,0,12,0,0,0,2,0,0.222
